"","topic","term","beta"
"1",1,"purpose",0.0231466617871704
"2",1,"dogâ€™s",0.0185173294297363
"3",1,"puppy",0.0138879970723022
"4",1,"dog",0.0138879970723022
"5",1,"tale",0.0138879970723022
"6",2,"award",0.016671286742884
"7",2,"selection",0.012503465057163
"8",2,"mother",0.0125034631168892
"9",2,"fight",0.0122248846077908
"10",2,"compelling",0.00833564337144199
"11",2,"roundup",0.00833564337144199
"12",2,"fantasy",0.00833564337144199
"13",2,"fantastic",0.00833564337144199
"14",2,"startlingly",0.00833564337144199
"15",2,"people",0.00833564337144199
"16",2,"electric",0.00833564337144199
"17",2,"characters",0.00833564337144199
"18",2,"complicated",0.00833564337144199
"19",2,"school",0.00833564337144199
"20",2,"bustle",0.00833564337144199
"21",2,"quirky",0.00833564337144199
"22",3,"fiction",0.0178506496635588
"23",3,"girl",0.0178491981582363
"24",3,"remarkable",0.0133879872476691
"25",3,"season",0.0133879872476691
"26",3,"boy",0.0133879872476691
"27",4,"town",0.0168024106972685
"28",4,"strange",0.0168024106737721
"29",4,"dark",0.0126018080229514
"30",4,"war",0.0126018080229514
"31",4,"lord",0.0126018080229514
"32",4,"women",0.0126018080229514
"33",4,"world",0.0126018080229514
"34",4,"real",0.0126018080229514
"35",5,"break",0.00995024873816859
"36",5,"falling",0.00995024873816859
"37",5,"hilarious",0.00995024873816859
"38",5,"offers",0.00995024873816859
"39",5,"death",0.00995024873816859
"40",5,"school",0.00995024873816859
"41",5,"free",0.00995024873816859
"42",5,"twenty",0.00995024873816859
"43",5,"confront",0.00995024873816859
"44",5,"thrilling",0.00995024873816859
"45",6,"throne",0.0132158593407229
"46",6,"vampire",0.0132158593407229
"47",6,"assassin",0.0132158593407229
"48",6,"car",0.0132158593407229
"49",6,"human",0.0132158593407229
"50",7,"frightening",0.00975609756097561
"51",7,"letter",0.00975609756097561
"52",7,"street",0.00975609756097561
"53",7,"faery",0.00975609756097561
"54",7,"single",0.00975609756097561
"55",7,"overcome",0.00975609756097561
"56",7,"half",0.00975609756097561
"57",7,"choice",0.00975609756097561
"58",8,"age",0.015707131309026
"59",8,"god",0.0157071313090196
"60",8,"duck",0.010471420872684
"61",8,"heroes",0.010471420872684
"62",8,"super",0.010471420872684
"63",8,"horror",0.010471420872684
"64",8,"school",0.010471420872684
"65",8,"meeting",0.010471420872684
"66",8,"revolutionary",0.010471420872684
"67",9,"person",0.0194255817114265
"68",9,"phone",0.0194255817114265
"69",9,"perfect",0.0194255817114265
"70",9,"uprooted",0.0145691862835699
"71",9,"cover",0.0145691862835699
"72",9,"lunar",0.0145691862835699
"73",9,"wakes",0.0145691862835699
